[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202247.390575220] [combined_odometry_publisher]: timestamp: 1739202247272128, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069494503772423, roll: -0.023822756055671555, yaw: 2.109478725914852
[INFO] [1739202247.391724439] [combined_odometry_publisher]: timestamp: 1739202247272128, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069494503772423, roll: -0.023822756055671555, yaw: 2.109478725914852
[INFO] [1739202247.441411671] [combined_odometry_publisher]: timestamp: 1739202247272128, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070597254940791, roll: -0.023804467879075704, yaw: 2.109654907148343
[INFO] [1739202247.491298781] [combined_odometry_publisher]: timestamp: 1739202247397296, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071290380996015, roll: -0.02380208532257065, yaw: 2.1096925711598775
[INFO] [1739202247.542158253] [combined_odometry_publisher]: timestamp: 1739202247397296, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072318603016411, roll: -0.023804240125720244, yaw: 2.1097131412943395
[INFO] [1739202247.591293454] [combined_odometry_publisher]: timestamp: 1739202247522202, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072173901215126, roll: -0.023809298455815545, yaw: 2.1097011649768347
[INFO] [1739202247.641294263] [combined_odometry_publisher]: timestamp: 1739202247522202, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071739346993303, roll: -0.023806397485704907, yaw: 2.1097431710592263
[INFO] [1739202247.691301943] [combined_odometry_publisher]: timestamp: 1739202247647203, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071040025692149, roll: -0.023827335122218254, yaw: 2.109842215064493
[INFO] [1739202247.741285769] [combined_odometry_publisher]: timestamp: 1739202247647203, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070908165262332, roll: -0.023833987991124666, yaw: 2.1097018795691787
[INFO] [1739202247.791367718] [combined_odometry_publisher]: timestamp: 1739202247647203, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071018372515018, roll: -0.023893063422492252, yaw: 2.1096133100884886
[INFO] [1739202247.841285665] [combined_odometry_publisher]: timestamp: 1739202247772204, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071364225652192, roll: -0.023862691766039817, yaw: 2.109643656089668
[INFO] [1739202247.891240394] [combined_odometry_publisher]: timestamp: 1739202247772204, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070836784370484, roll: -0.023703839714119875, yaw: 2.109793881415135
[INFO] [1739202247.941271485] [combined_odometry_publisher]: timestamp: 1739202247772204, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070375943748749, roll: -0.02365043717039911, yaw: 2.109757397350596
[INFO] [1739202247.991272831] [combined_odometry_publisher]: timestamp: 1739202247911208, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070000296383414, roll: -0.02372826589652807, yaw: 2.1095995307021838
[INFO] [1739202248.041261652] [combined_odometry_publisher]: timestamp: 1739202247911208, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070219218792952, roll: -0.023835169501800698, yaw: 2.1094476843334355
